"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4725","Search for streamer in a category","","Thu May 29 16:39:40 IST 2025","passed","Thu May 29 16:39:44 IST 2025","","User validation in Twicth","",""
"","5201","Search for Category","","Thu May 29 16:39:35 IST 2025","passed","Thu May 29 16:39:40 IST 2025","","User validation in Twicth","",""
